Sample,Latitude,Longitude,SiO2,TiO2,Al2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,CO2,SO3,S,F ,Cl,LOI,Ba,Co,Cr,Cs,Li,Ni,Rb,Sr,V,Zr
1,12.7,76.29,35.02,0.12,1.35,13.56,1.49,0.15,34.67,1.58,0.85,0.08,0.2,,,,,,10.25,,,,,,,,,,
sk-1c,16.34138889,77.92861111,35.05,1.21,1.75,7.89,,0.12,32.34,10.75,0.01,0.14,1.05,,,,,,10.24,858.21,82.26,958.24,0.43,,959.82,15.65,1835.2,134.44,379.2
sk-1c,16.3189,77.9286,35.05,1.21,1.75,7.89,,0.12,32.34,10.75,0.01,0.14,1.05,,,,,,10.24,858.21,82.26,958.24,0.43,,959.82,15.65,1835.2,134.44,379.2
b2012,20.63333333,83.63333333,35.12,4.12,7.8,,37.65,0.56,3.22,4.93,1.2,0.31,1.55,,,,,,,81,,59,,,43,4,120,98,5512
hv-4/6,24.676,80.034,35.12,6.24,3.86,3.4,4.69,0.2,15.36,9.24,0.13,0.52,2.17,8.27,,,,,,680,,,,,,,,,
rm316,15.125,76.7,35.18,0.66,14.42,16.97,,0.16,30.82,0.17,0.08,0.02,0.06,,,,,,2.01,13.56,108.5,455,0.15,,591,0.39,18.39,334.7,11
hv-1/3,24.676,80.034,35.22,8.74,5.16,10.24,6.71,0.04,11.37,5.25,0.09,2.02,3.45,,,,,,,2720,,,,,,,,,
pipe-2,15.03027778,77.41361111,35.29,2.54,6.45,12.46,,0.2,18.63,14.33,1.46,2.2,0.78,,,,,,6.11,3108,,760,,,390,191,903,149,148
p2,15.0303,77.4136,35.29,2.54,6.45,12.46,,0.2,18.63,14.33,1.46,2.2,0.78,,,,,,6.11,3108,,760,,,390,191,903,149,148
82041,15.05,77.47,35.32,2.51,3.54,12.61,,0.2,28.02,8.84,,0.61,0.59,0.78,,,,0.0298,,892.1,93.5,1138.2,4,6.8,1071,80.2,1159.1,63.3,498.8
82041,15.0467,77.465,35.32,2.51,3.54,12.61,,0.2,28.02,9.488503287,,0.61,0.59,0.78,,0.05,,0.0298,,931.0476,93.24325,1134.1205,1.9758,6.8413,1070.481,80.122,1186.663957,46.16665,487.88625
95-bmr-036,25.72,71.92,35.32,6.2,10.73,16.89,,0.22,7.93,16.55,2.77,1.32,0.77,,,,,0.01,2.51,,,31,,,26,41.9,1357,,355
dhr-10-106,13.0596,76.4431,35.36,2.62,15.7,27.64,,0.2,16.92,1.38,0.01,,0.17,,,,,,7.89,10.39,118.62,90.04,0.04,,150.82,0.18,12.06,318.86,21.58
18,22,74.08,35.41,0.61,5.57,6.26,2.16,0.62,6.26,22.07,0.43,2.83,0.16,15.7,,,,,,,,,,,,,,,
c5,15.45,78.7,35.44,5.57,4.24,7.21,,0.09,9.07,17.21,0.09,2.11,1.47,,,,,,15.92,1327,,628.9,7.63,,427.2,144.3,1030.8,112,1149.3
c5,15.45,78.7,35.44,5.57,4.24,7.21,,0.09,9.07,17.21,0.09,2.11,1.47,,,,,,15.92,1327,,628.9,7.63,,427.2,144.3,1030.8,112,1149.3
8204b2,15.05,77.47,35.45,2.54,3.63,12.15,,0.19,27.77,6.94,,0.81,0.72,0.51,,,,0.0158,,738.4,91.7,1114,18.1,15.9,1071.9,127.8,828.2,67.2,504.5
8204b2,15.0467,77.465,35.45,2.54,3.63,12.15,,0.19,27.77,7.391720597,,0.81,0.72,0.51,,0.07,,0.0158,,769.1785,89.8369,1092.0155,16.9085,15.8509,1055.9685,127.90645,851.6613515,58.5814,491.7283
16,16.82,77.64,35.48,4.33,4.21,13.89,,0.19,21.77,13.08,,0.49,0.56,0.39,,,,0.0347,,1280.4,92.6,1010.2,7.1,54.4,762.4,95.4,809.1,263.5,294.4
16,16.8233,77.64,35.48,4.33,4.21,13.89,,0.19,21.77,13.70996111,,0.49,0.56,0.39,,0.08,,0.0347,,1285.1855,90.8135,1015.1005,4.3054,54.4385,766.1835,95.21965,839.5930015,259.27385,294.1961
