Sample,SiO2,TiO2,Al2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,CO2,SO3,S,F ,Cl,LOI,Ba,Co,Cr,Cs,Li,Ni,Rb,Sr,V,Zr
PAT02 ,48.83,2.07,19.96,3.57,3.72,0.11,2.87,9.48,4.06,1.36,0.77,,,,,,1.73,632,20,54,2,,,37,1153,159,121
PAT01,49.1,2.07,20.3,2.75,4.53,0.12,3.41,9.85,4.06,1.35,0.65,,,,,,1.67,606,24,10,1.8,,12,30,1127,176,102
SCGB ,50.3,1.51,15.7,2.16,6.76,0.15,6.6,10.83,3.13,1.39,0.4,,,,,,1.38,261,48,35,0.9,,36,39,544,202,194
EPD5,47.14,2.12,14.56,11.95,,0.19,8.22,8.37,3.88,1.77,0.62,,,,,,0.7,651,48,,0.8,,117,40,681,231,314
MANQU,44.44,1.96,9.08,12.55,,0.18,15.98,11.03,1.33,0.71,0.3,,,,,,2.59,313,71,811,1.6,,347,16,363,241,147
GUAD-3,45.91,1.63,17.48,9.1,,0.2,3.74,7.84,5.43,2.92,0.93,,,,,,4.16,2120,24,27,9.4,,,76,1610,182,272
SRAF ,45.91,2.71,16.5,3.37,7.88,0.18,4.05,9.37,3.89,1.91,0.69,,,,,,1.31,546,32,53,0.7,,,34,670,208,270
GUAD ,46.8,2.32,17.3,3.58,6.47,0.16,4.87,10.05,3.78,1.27,0.59,,,,,,2.64,469,40,30,0.6,,34,23,758,264,198
REFU ,49.57,2.55,15.24,4.01,6.54,0.18,3.41,6.57,4.23,2.18,1.04,,,,,,2.73,1758,28,,0.5,,,57,678,235,281
BEA-4,45.75,2.65,15.28,11.56,,0.17,5.6,9.65,3.47,1.35,0.5,,,,,,3.74,578,39,,0,,62,22,806,258,204
LUD ,42.74,3.09,15.64,4.2,7.58,0.19,4.77,9.62,3.78,0.91,0.7,,,,,,4.75,553,38,34,0,,,10,905,305,277
SLAZD ,48.04,2.14,18.59,3.03,4.67,0.2,2.7,6.8,4.96,3.24,1.01,,,,,,2.77,1077,12,22,6.8,,,71,1316,110,343
VMBUE ,44.57,3.22,14.56,5.62,7.79,0.22,3.45,9.63,2.66,2.95,0.88,,,,,,2.34,898,35,,0.6,,,51,868,209,366
ESP ,44.94,2.91,14.98,5.59,7.59,0.22,3.37,9.37,2.78,2.85,0.83,,,,,,2.42,2049,35,,0,,,40,2033,195,349
BAI-1,47.34,2.93,15.52,11.92,,0.19,3.86,8.46,4.76,0.31,0.73,,,,,,4.1,526,28,,0,,,5,697,226,292
CD3,39.7,2.14,14.27,9.74,,0.22,5.96,11.71,6.68,3.33,0.73,,,,,,4.8,1859,32,,3.8,,51,126,1488,275,224
BAD1,39.86,2.49,14.37,10.7,,0.23,7.23,13.16,3.26,2.47,0.84,,,,,,4.5,1563,36,,12.7,,70,77,2287,279,291
MMD,45.61,1.48,17.4,7.56,,0.22,3.49,7.81,7.1,4.13,0.65,,,,,,3.8,1788,19,,2.4,,26,151,1873,197,450
ACDL1,38.58,2.34,15.69,10.95,,0.23,4.66,11.82,5.79,3.08,1.21,,,,,,4.9,1469,35,,1.2,,,76,1969,338,295
M-MED1,47.43,1.24,18.78,7.42,,0.18,2.37,5.85,6.67,4.33,0.47,,,,,,4.7,1681,17,,1.2,,,134,1319,120,262
BAD6,44.21,1.98,15.72,9.89,,0.19,6.17,10.28,3.99,3.08,0.79,,,,,,3.1,1433,34,,15.5,,49,78,1377,252,246
SLZ-4A,44.37,2.36,17.1,10.13,,0.23,3.03,9.44,5.88,1.69,0.87,,,,,,4.41,1890,21,,95.6,,0,59,1430,189,305
BAI-2,46.02,1.63,17.57,9.08,,0.2,3.65,7.73,5.46,2.99,0.92,,,,,,4.13,2100,23,,8.8,,0,74,1610,178,281
SLZ-4B,48.31,2.89,17.35,10.06,,0.16,3.52,8.64,3.88,2.07,0.79,,,,,,2.68,709,25,,,,23,30,938,207,297
DIQUE3,43.15,2.37,15.15,5.35,5.44,0.2,5.59,10.1,3.99,1.98,0.82,,,,,,4.56,1840,31,93,31,,63,57,2002,235,271
PSAR ,38.89,1.86,12.81,5,5.53,0.19,10.61,13.94,1.77,1.07,1.55,,,,,,5.04,1212,41,280,4.3,,201,48,1939,231,262
CPAZ,39.6,2.35,12.6,4.04,7.34,0.2,11.06,13.17,4.45,1.09,1.73,,,,,,1.59,966,59,245,0.9,,149,29,1379,247,229
PAN ,41.57,1.99,13.82,3.91,7.32,0.2,10.64,11.38,3.88,1.15,1.31,,,,,,1.05,815,47,314,0.9,,203,30,1356,225,269
CIBARR ,44.57,1.3,18.18,4.15,3.43,0.19,3.32,7.34,5.96,4.34,0.66,,,,,,5.01,2489,19,67,5.3,,25,134,1799,158,172
CORC ,45.3,1.64,14.33,2.54,9.69,0.18,9.42,9.81,3.17,0.87,0.67,,,,,,0.11,400,56,288,0.6,,160,21,641,228,147
BAX1,46.29,1.53,18.91,8.83,,0.36,1.81,9.24,4.9,2.87,0.33,,,,,,4.2,1596,14,,41.3,,,76,2763,183,274
BEA-8,50.21,1.08,19.45,6.55,,0.19,1.6,5.4,6.05,4.36,0.44,,,,,,4.31,2200,9,,6.5,,,131,1540,91,300
REP02 ,61.44,0.98,16.19,2.52,2.78,0.13,1.49,2.9,4.95,3.99,0.39,,,,,,1.3,1290,5,77,2.4,,,131,465,46,345
SCSAG,58.4,0.98,18.1,1.78,1.54,0.14,0.97,2.19,6.14,6.17,0.2,,,,,,1.41,1400,3,,3.5,,4,135,268,52,236
EPD1,59.5,0.89,18.27,2.47,,0.08,1.1,4.45,9.12,0.39,0.23,,,,,,3.2,242,4,,0.2,,,7,1082,33,524
CD4,56.59,1.52,19.17,4.79,,0.18,0.96,3.8,5.83,4.92,0.17,,,,,,1.2,4174,2,,1.3,,,82,1563,60,347
ERSN,55.8,0.36,22.1,1.76,0.78,0.15,0.32,0.96,10.19,6.54,0.06,,,,,,1.21,177,1,,2.7,,2,201,142,10,346
SACR1,57.3,0.39,20.7,2.06,0.67,0.12,0.55,2,8.41,6.41,0.18,,,,,,1.04,856,2,,3,,2,152,1165,,550
BAD5,52.57,0.37,20.3,4.29,,0.23,0.2,1.56,10.75,5.39,0.05,,,,,,3.9,465,2,,6.2,,,266,517,16,675
TRAV-2,54.44,0.28,20.41,3.65,,0.2,0.13,1.4,8.81,5.95,0.04,,,,,,5.03,134,1,,3.8,,,284,356,6,452
SLZ-5,54.82,0.32,20.59,4.07,,0.22,0.13,1.29,10.41,5.74,0.04,,,,,,2.48,357,1,,4.4,,,285,519,6,528
PAT03,64.91,0.86,15.84,2.24,2.28,0.07,1.16,2.52,5.14,3.88,0.32,,,,,,1.02,1187,3,97,3.5,,,171,407,31,337
BUFA ,64.34,0.33,16.86,2.12,1.74,0.17,0.31,0.96,7.15,5.45,0.08,,,,,,0.78,365,,39,1.6,,,141,35,,550
BEA-3,65.3,0.66,18.24,1.3,,0.04,0.11,0.33,6.59,5.8,0.09,,,,,,1.73,851,1,,,,,129,96,24,408
SCMD ,64.9,0.39,17.3,0.49,1.41,0.06,1.02,4.05,4.85,4.18,0.17,,,,,,0.72,1235,4,0,0.5,,5,117,866,68,179
XMON1,74.55,0.1,12.49,0.67,,0.03,0.19,1.49,1.87,6.93,0.06,,,,,,1.3,1899,1,,1.3,,,98,540,14,43
