Sample,SiO2,TiO2,Al2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,CO2,LOI,BaO,CoO,Cl,Cr2O3,Cs2O,F ,Li2O,NiO,Rb2O,S,SO3,SrO,V2O3,ZrO2
Boninite,50.85,0.34,13.55,2.24,5.43,0.14,10.01,9.55,1.58,0.16,0.03,0.07,1.91,,,,,,,,,,,,,,
Komatiite,48.87,0.75,12,1.11,8.98,0.12,19.34,7.02,1.02,0.65,0.15,,,,,,,,,,,,,,,,
Meimechite,41.17,2.21,5.66,3.35,12.34,0.35,17.62,9.5,1.1,0.39,1.38,0.09,3.74,,,,,,,,,,,,,,
Picrite,44.63,1.83,12.66,2.75,9.77,0.17,17.01,7.84,1.73,0.2,0.21,,0.73,,,,,,,,,,,,,,
Picrobasalt,43.01,2.99,14.55,5.6,8.55,0.01,8.45,10.21,1.52,1.02,0.53,0.52,2.07,,,,,,,,,,,,,,
Alkali Basalt,46.58,1.66,15.01,3.54,6.83,0.17,10.67,9.33,3.5,0.83,0.22,,1.07,,,,,,,,,,,,,,
Subalkali Basalt,49.47,2.27,14.58,3.97,8.1,0.18,7.33,9.33,1.7,0.21,0.16,,1.78,,,,,,,,,,,,,,
Bas and medium-K,53.42,1.09,17.44,3.25,6.85,0.43,3.18,10.64,2.02,0.85,,,0.43,,,,,,,,,,,,,,
Andesite medium-K,57.94,0.87,17.02,3.27,4.04,0.14,3.33,6.79,3.48,1.62,0.21,0.05,0.83,,,,,,,,,,,,,,
Dacite low-K,66.51,0.58,15.91,2.43,2.3,0.09,1.78,4.32,3.79,0.67,0.15,0.06,0.91,,,,,,,,,,,,,,
Rhyolite high-K,73.09,0.17,13.89,0.59,1.15,0.05,0.2,1.23,3.33,5.61,0.12,,0.56,,,,,,,,,,,,,,
Pantelleritic rhyolite,71.3,0.61,7.42,1.96,6.79,0.36,,0.6,6.63,4.26,,,0.19,,,,,,,,,,,,,,
Comenditic rhyolite,75.25,0.5,10.39,1.57,2.43,,0.08,0.25,4.39,4.35,,,0.61,,,,,,,,,,,,,,
Trachyte,61.21,0.7,16.96,2.99,2.29,0.15,0.93,2.34,5.47,4.98,0.21,0.09,1.15,,,,,,,,,,,,,,
Pantelleritic trachyte,62.8,0.7,12.36,2.11,6.94,0.36,0.18,1.13,8.42,4.54,0.09,,0.05,,,,,,,,,,,,,,
Comenditic trachyte,66.2,0.4,15.2,2.24,2.88,0.15,0.18,0.73,5.98,5.21,0.09,,0.49,,,,,,,,,,,,,,
Trachydacite,65.49,0,18.95,2.55,1.36,,0.6,2.06,3.45,5.08,,,0.71,,,,,,,,,,,,,,
Benmoreite,58.12,1.25,18.54,1.9,4.21,0.16,1.87,4.92,5.82,2.81,0.67,,0.11,,,,,,,,,,,,,,
Latite,58.15,1.08,16.7,3.26,3.21,0.16,2.57,4.96,4.35,3.21,0.41,0.08,1.25,,,,,,,,,,,,,,
Mugearite,50.52,2.09,16.71,4.88,5.86,0.26,3.2,6.14,4.73,2.46,0.75,0.15,1.27,,,,,,,,,,,,,,
Shoshonite,54.38,1.89,17.83,2.57,4.97,0.11,4.12,6.58,4.03,2.5,0.57,0.01,0.16,,,,,,,,,,,,,,
Hawaiite,47.48,3.23,15.74,4.94,7.36,0.19,5.58,7.91,3.97,1.53,0.74,0.04,0.79,,,,,,,,,,,,,,
K-trachybasalt,49.21,2.4,16.63,3.69,6.18,0.16,5.17,7.9,3.96,2.55,0.59,0.1,0.98,,,,,,,,,,,,,,
Phonolite peralkaline,56.78,2,14.47,2.8,6.05,,0.34,2.47,8.67,4.51,,,1.7,,,,,,,,,,,,,,
Phonolite,54.58,0.8,19.42,1.87,3.17,0.23,1.42,1.53,7.77,5,0.33,,2.95,,,,,,,,,,,,,,
Tephriphonolite,54.1,1.7,20,2,3.3,0.2,1.8,5.2,6.1,5.6,0.3,,0.2,,,,,,,,,,,,,,
Phonotephrite,47.92,1.32,19.3,1.11,7.02,0.35,3.99,7.94,6.34,2.86,0.84,,1.49,,,,,,,,,,,,,,
Tephrite,48.2,0.78,16.5,5.3,2.9,0.13,5.8,12.5,2.4,5.6,0.82,,0.46,,,,,,,,,,,,,,
Basanite,43.94,2.32,12.6,3.84,9.18,0.09,11.43,10.78,3.84,1.02,0.43,,0.36,,,,,,,,,,,,,,
Foidite,44.1,2.84,16.97,3.09,7.21,0.2,3.73,8.41,4.31,7.24,1.17,,0.29,,,,,,,,,,,,,,
Nephelinite,33.72,2.99,11.3,10.62,1.15,0.26,6.48,16.25,4.17,3.63,0.72,5.08,2.26,,,,,,,,,,,,,,
Nephelinite2,44.35,1.2,18.05,1.92,7.05,0.23,5.59,10.14,6.36,1.12,1.13,,1.85,,,,,,,,,,,,,,
Melanephelinite,40.52,4.65,12.51,4.34,9.45,0.21,8.62,12.65,3.67,1.24,1,0.4,0.99,,,,,,,,,,,,,,
Melanephelinite2,46.92,0.65,14.04,3.76,5.07,0.12,8.06,10.02,2.87,4.33,0.79,0.12,2.36,,,,,,,,,,,,,,
Melilitite,34.03,2.69,8.41,3.13,6.67,0,14.68,18.2,4.58,1.69,1.1,,4.02,,,,,,,,,,,,,,
Potassic melilitite,40.6,1.64,18.25,1.43,8.59,0.33,3.96,15.02,3.72,5.18,1.08,,,,,,,,,,,,,,,,
Melilite nephelinite,41.8,1.97,18.7,3.71,5.11,0.27,4.82,10.24,4.16,5.28,0.81,,1.72,,,,,,,,,,,,,,
