Sample,Latitude,Longtitude,Type of sample,   SiO2  ,   TiO2  ,   Al2O3 ,Fe2O3,   FeO   ,   MnO   ,   MgO   ,   CaO   ,   Na2O  ,   K2O   ,   P2O5  ,   F     ,   SO3,S,   Cl    ,LOI,CO2,Original total,Ba,Co,Cr,Cs,Li,Ni,Rb,Sr,V,Zr
7452-7,56.6121,161.2684,Pumice lapilli,75.61,0.24,13.28,,1.34,0.03,0.28,1.39,4.64,2.99,0.04,0,0.05,,0.15,1.03,,98.97,,,,,,,,,,
7452-7,56.6121,161.2684,Pumice lapilli,75.53,0.26,13.45,,1.29,0.08,0.29,1.32,4.7,2.88,0.01,0.07,0.05,,0.12,1.83,,98.17,,,,,,,,,,
7452-7,56.6121,161.2684,Pumice lapilli,75.45,0.23,13.49,,1.25,0.06,0.28,1.37,4.7,3.01,0.04,0,0.03,,0.13,4.02,,95.98,,,,,,,,,,
7452-7,56.6121,161.2684,Pumice lapilli,75.68,0.27,13.28,,1.12,0.07,0.29,1.28,4.82,3.03,0.05,0.01,0.01,,0.12,2.13,,97.87,,,,,,,,,,
7452-7,56.6121,161.2684,Pumice lapilli,75.65,0.26,13.31,,1.32,0.11,0.32,1.37,4.68,2.85,0.02,0,0.01,,0.13,1.16,,98.84,,,,,,,,,,
7452-7,56.6121,161.2684,Pumice lapilli,75.35,0.25,13.38,,1.41,0,0.3,1.35,4.9,2.87,0.04,0.05,0.01,,0.13,1.28,,98.72,,,,,,,,,,
7452-7,56.6121,161.2684,Pumice lapilli,75.58,0.27,13.45,,1.3,0.06,0.29,1.37,4.65,2.89,0.03,0.04,0,,0.13,1.49,,98.51,,,,,,,,,,
7452-7,56.6121,161.2684,Pumice lapilli,75.34,0.24,13.64,,1.32,0.03,0.29,1.39,4.61,3,0.03,0,0.01,,0.13,0.06,,100.06,,,,,,,,,,
7452-7,56.6121,161.2684,Pumice lapilli,75.35,0.24,13.56,,1.18,0.07,0.3,1.36,4.74,3.08,0,0,0.02,,0.12,0.91,,99.09,,,,,,,,,,
7452-7,56.6121,161.2684,Pumice lapilli,75.35,0.25,13.49,,1.23,0.1,0.3,1.32,4.84,2.92,0.03,0.07,0.02,,0.14,0.93,,99.07,,,,,,,,,,
7452-7,56.6121,161.2684,Pumice lapilli,75.37,0.26,13.54,,1.26,0.08,0.3,1.28,4.74,3.02,0,0.05,0.03,,0.12,1.84,,98.16,,,,,,,,,,
7452-7,56.6121,161.2684,Pumice lapilli,75.71,0.27,13.53,,1.06,0.01,0.27,1.31,4.67,2.99,0.04,0.02,0.02,,0.12,2.15,,97.85,,,,,,,,,,
7452-7,56.6121,161.2684,Pumice lapilli,75.64,0.27,13.47,,1.32,0.06,0.32,1.33,4.48,2.96,0.04,0,0.01,,0.13,1.01,,98.99,,,,,,,,,,
7452-7,56.6121,161.2684,Pumice lapilli,75.73,0.26,13.45,,1.1,0.04,0.29,1.32,4.7,2.96,0.02,0,0.01,,0.14,2.33,,97.67,,,,,,,,,,
3000-12,56.5817,161.2265,Pumice lapilli,75.87,0.4,13.17,,1.17,0.04,0.32,1.44,4.82,2.55,0.03,0.08,0.03,,0.16,5.85,,94.15,,,,,,,,,,
3000-12,56.5817,161.2265,Pumice lapilli,77.97,0.4,11.75,,1.1,0,0.25,1.03,4.33,2.97,0.04,0.07,0.02,,0.13,4.69,,95.31,,,,,,,,,,
3000-12,56.5817,161.2265,Pumice lapilli,78.6,0.41,11.55,,1.27,0.02,0.12,0.61,4.3,2.95,0,0.11,0,,0.12,0.53,,100.53,,,,,,,,,,
3000-12,56.5817,161.2265,Pumice lapilli,75.61,0.37,13.3,,1.23,0.04,0.13,1.6,4.92,2.6,0.08,0.02,0.02,,0.12,1.16,,101.16,,,,,,,,,,
3000-12,56.5817,161.2265,Pumice lapilli,77.76,0.36,12.24,,1.06,0.06,0.14,0.9,4.54,2.83,0.03,0.01,0.01,,0.1,0.2,,99.8,,,,,,,,,,
3000-12,56.5817,161.2265,Pumice lapilli,77.04,0.37,12.9,,1.18,0.05,0.14,0.76,4.48,2.92,0.03,0.03,0.03,,0.12,1.99,,98.01,,,,,,,,,,
96025-1 ,56.5703,161.4656,Pumice lapilli,75.54,0.15,13.7,,1.32,0.06,0.3,1.35,4.47,2.96,0.02,0,0.01,,0.14,2.67,,97.33,,,,,,,,,,
96025-1 ,56.5703,161.4656,Pumice lapilli,75.55,0.34,13.57,,1.26,0.1,0.36,1.4,4.43,2.85,0.03,0,0.01,,0.12,0.26,,100.26,,,,,,,,,,
96025-1 ,56.5703,161.4656,Pumice lapilli,75.45,0.21,13.58,,1.45,0.01,0.31,1.36,4.58,2.94,0.03,0,0.01,,0.11,1.02,,98.98,,,,,,,,,,
96025-1 ,56.5703,161.4656,Pumice lapilli,75.94,0.13,13.67,,1.11,0.01,0.29,1.42,4.38,2.9,0.01,0,0.04,,0.12,1.36,,98.64,,,,,,,,,,
96025-1 ,56.5703,161.4656,Pumice lapilli,75.93,0.07,13.81,,1.05,0.08,0.28,1.22,4.59,2.85,0.03,0,0,,0.12,1.61,,98.39,,,,,,,,,,
96025-1 ,56.5703,161.4656,Pumice lapilli,75.76,0.11,13.55,,1.26,0.15,0.27,1.21,4.51,2.98,0.08,0,0.02,,0.12,1.22,,98.78,,,,,,,,,,
96025-1 ,56.5703,161.4656,Pumice lapilli,75.94,0.13,13.63,,1.05,0.09,0.3,1.24,4.56,2.91,0.04,0,0,,0.15,2.77,,97.23,,,,,,,,,,
96025-1 ,56.5703,161.4656,Pumice lapilli,75.82,0.17,13.56,,1.07,0.11,0.31,1.35,4.63,2.79,0.01,0,0.03,,0.18,6.86,,93.14,,,,,,,,,,
96025-1 ,56.5703,161.4656,Pumice lapilli,75.87,0.06,13.68,,1.2,0,0.29,1.41,4.44,2.9,0.01,0,0.03,,0.14,1.32,,98.68,,,,,,,,,,
96025-1 ,56.5703,161.4656,Pumice lapilli,75.29,0.28,13.65,,1.43,0.02,0.28,1.36,4.57,2.94,0.07,0,0.01,,0.13,0.94,,99.06,,,,,,,,,,
96025-1 ,56.5703,161.4656,Pumice lapilli,75.35,0.22,13.78,,1.34,0.02,0.3,1.35,4.62,2.9,0.03,0,0,,0.12,2.55,,97.45,,,,,,,,,,
96025-1 ,56.5703,161.4656,Pumice lapilli,75.79,0.16,13.67,,1.23,0.04,0.31,1.3,4.53,2.82,0.05,0,0.01,,0.12,1.43,,98.57,,,,,,,,,,
96025-1 ,56.5703,161.4656,Pumice lapilli,75.88,0.18,13.75,,1.16,0,0.31,1.33,4.44,2.82,0.03,0,0.02,,0.12,1.16,,98.84,,,,,,,,,,
96025-1 ,56.5703,161.4656,Pumice lapilli,75.78,0.09,13.67,,1.15,0,0.26,1.41,4.53,2.92,0.08,0,0.01,,0.13,1.21,,98.79,,,,,,,,,,
96025-1 ,56.5703,161.4656,Pumice lapilli,75.66,0.25,13.59,,1.27,0,0.3,1.45,4.42,2.89,0.06,0,0.01,,0.12,0.6,,99.4,,,,,,,,,,
96025-1 ,56.5703,161.4656,Pumice lapilli,75.38,0.26,13.84,,1.12,0.2,0.29,1.37,4.54,2.89,0.01,0,0.02,,0.12,1.16,,98.84,,,,,,,,,,
00K69,56.5629,161.2187,Pumice lapilli,75.74,0.27,13.72,,1.18,0.03,0.3,1.39,4.52,2.72,0.03,0,0.02,,0.13,1.92,,98.08,,,,,,,,,,
00K69,56.5629,161.2187,Pumice lapilli,75.77,0.25,13.7,,1.37,0.09,0.35,1.39,4.21,2.7,0.05,0,0.03,,0.11,1.25,,98.75,,,,,,,,,,
00K69,56.5629,161.2187,Pumice lapilli,75.46,0.21,13.83,,1.3,0.08,0.28,1.39,4.56,2.76,0.03,0,0.03,,0.1,1.95,,98.05,,,,,,,,,,
00K69,56.5629,161.2187,Pumice lapilli,75.32,0.19,13.63,,1.54,0.11,0.43,1.33,4.53,2.76,0.03,0,0.03,,0.12,0.43,,99.57,,,,,,,,,,
00K69,56.5629,161.2187,Pumice lapilli,75.36,0.33,13.67,,1.34,0,0.26,1.37,4.78,2.74,0.03,0,0.02,,0.12,1.27,,98.73,,,,,,,,,,
00K69,56.5629,161.2187,Pumice lapilli,75.46,0.24,13.78,,1.46,0.02,0.32,1.34,4.52,2.75,0.02,0,0.01,,0.1,1.29,,98.71,,,,,,,,,,
00K69,56.5629,161.2187,Pumice lapilli,74.45,0.16,14.56,,1.11,0.12,0.32,1.9,4.65,2.57,0.07,0,0,,0.12,3.41,,96.59,,,,,,,,,,
00K69,56.5629,161.2187,Pumice lapilli,75.4,0.13,13.81,,1.39,0,0.29,1.34,4.75,2.75,0.05,0,0,,0.11,1.33,,98.67,,,,,,,,,,
00K69,56.5629,161.2187,Pumice lapilli,76.03,0.04,13.84,,1.18,0,0.27,1.38,4.36,2.77,0.04,0,0,,0.13,1.46,,98.54,,,,,,,,,,
00K69,56.5629,161.2187,Pumice lapilli,76.13,0.08,13.56,,1.17,0.03,0.3,1.31,4.59,2.68,0.04,0,0.02,,0.12,0.89,,99.11,,,,,,,,,,
00K69,56.5629,161.2187,Pumice lapilli,74.28,0.21,14.65,,1.12,0.01,0.28,2.01,4.86,2.45,0,0,0.04,,0.1,0.32,,99.68,,,,,,,,,,
00K69,56.5629,161.2187,Pumice lapilli,75.61,0.22,13.72,,1.22,0.05,0.23,1.67,4.37,2.74,0.04,0,0.04,,0.13,1.61,,98.39,,,,,,,,,,
00K69,56.5629,161.2187,Pumice lapilli,75.86,0.29,13.59,,1.22,0,0.32,1.36,4.47,2.75,0.02,0,0.02,,0.12,1.2,,98.8,,,,,,,,,,
00K69,56.5629,161.2187,Pumice lapilli,75.55,0.19,13.72,,1.16,0.06,0.34,1.45,4.7,2.66,0.05,0,0.04,,0.11,0.42,,99.58,,,,,,,,,,
00K69,56.5629,161.2187,Pumice lapilli,75.12,0.23,13.58,,1.29,0.1,0.29,1.34,5.31,2.64,0,0,0.02,,0.1,2.62,,97.38,,,,,,,,,,
609-6 ,56.7201,161.3889,Pumice lapilli,76.07,0.2,13.45,,1.13,0,0.32,1.39,4.3,2.91,0.09,0,0,,0.16,6.61,,93.39,,,,,,,,,,
609-6 ,56.7201,161.3889,Pumice lapilli,75.72,0.25,13.47,,1.17,0.04,0.32,1.4,4.71,2.81,0.01,0,0,,0.14,0.38,,99.62,,,,,,,,,,
609-6 ,56.7201,161.3889,Pumice lapilli,75.77,0.28,13.53,,1.31,0.1,0.31,1.31,4.36,2.92,0.01,0,0.02,,0.12,0.96,,99.04,,,,,,,,,,
609-6 ,56.7201,161.3889,Pumice lapilli,76,0.14,13.36,,1.32,0.08,0.33,1.32,4.39,2.89,0.06,0,0,,0.14,4.17,,95.83,,,,,,,,,,
609-6 ,56.7201,161.3889,Pumice lapilli,75.8,0.24,13.48,,1.25,0,0.36,1.41,4.46,2.83,0.05,0,0.02,,0.14,0.26,,99.74,,,,,,,,,,
609-6 ,56.7201,161.3889,Pumice lapilli,75,0.26,13.61,,1.38,0.09,0.34,1.37,4.9,2.9,0.05,0,0,,0.11,4.82,,95.18,,,,,,,,,,
00K71 ,56.5403,161.1838,Pumice lapilli,70.68,0.25,15.5,,2.23,0.1,0.6,1.86,5.3,3.24,0.11,0,0.06,,0.09,0.88,,99.12,,,,,,,,,,
00K71 ,56.5403,161.1838,Pumice lapilli,70.08,0.21,15.91,,2.2,0.07,0.54,2.43,5.42,2.93,0.11,0,0.03,,0.09,2.52,,97.48,,,,,,,,,,
00K71 ,56.5403,161.1838,Pumice lapilli,69.96,0.33,15.94,,2.37,0.09,0.69,1.92,5.32,3.15,0.14,0,0,,0.1,5.64,,94.36,,,,,,,,,,
00K71 ,56.5403,161.1838,Pumice lapilli,69.5,0.36,16.09,,2.47,0.02,0.64,2.02,5.52,3.05,0.15,0,0.07,,0.12,2.96,,97.04,,,,,,,,,,
00K71 ,56.5403,161.1838,Pumice lapilli,70.67,0.28,15.56,,2.22,0,0.59,1.98,5.48,2.98,0.13,0,0.04,,0.1,2.79,,97.21,,,,,,,,,,
00K71 ,56.5403,161.1838,Pumice lapilli,68.99,0.37,16.36,,2.23,0.06,0.56,2.65,5.59,2.97,0.12,0,0.04,,0.1,2.75,,97.25,,,,,,,,,,
00K71 ,56.5403,161.1838,Pumice lapilli,70.29,0.38,15.74,,2.37,0.05,0.6,1.83,5.38,3.13,0.09,0,0.05,,0.1,1.64,,98.36,,,,,,,,,,
00K71 ,56.5403,161.1838,Pumice lapilli,68.89,0.25,16.1,,2.27,0.03,0.67,2.27,6.22,2.98,0.08,0,0.14,,0.13,2.4,,97.6,,,,,,,,,,
00K71 ,56.5403,161.1838,Pumice lapilli,72.17,0.45,14.82,,1.83,0.12,0.58,2.3,4.7,2.86,0.06,0,0.03,,0.09,2.31,,97.69,,,,,,,,,,
757-1,56.5672,161.138,Pumice lapilli,74.89,0.22,13.84,,1.39,0.06,0.31,1.36,4.96,2.79,0.05,0,0.02,,0.15,3.3,,96.7,,,,,,,,,,
757-1,56.5672,161.138,Pumice lapilli,75.46,0.24,13.9,,1.25,0.07,0.28,1.31,4.42,2.87,0.05,0,0.04,,0.14,4.18,,95.82,,,,,,,,,,
